Tweet ID,Tweet
7.21E+17,@MarisHoskins you keep calling me stupid and a dumbass but look at how you talk lol. You sound like an uneducated hillbilly.
7.25E+17,@Rovitz is this when I call you a redneck Montana hillbilly?
8.49E+17,@BryanJFischer And Christianity stole almost everything from Zoroastrianism. Being a clueless hillbilly doesn't work in your favor.
8.55E+17,@MikeMartin1982 yo ur a fucking prick pick on someone ur own size not some kid that's 60years younger than you ya hillbilly fuck!
8.55E+17,"@jeffsessions yo, you hillbilly dipshit! Hawaii is part of AMERICA, or, as you might say, 'Murica. God, you are an embarrassment. 🖕🏼🖕🏼"
8.55E+17,@RepAdamSchiff @bannerite Just shows what an ignorant hillbilly Sessions really is. You can take the Boy out of the… https://t.co/9KoBOfc5jx
8.56E+17,@washingtonpost That was no joke you hillbilly asshickey!!!
7.83E+17,@realDonaldTrump @CNN @FoxNews man you sure messed up picking this hillbilly
7.84E+17,"@realDonaldTrump You should be winning by 40 pts in hillbilly country, loser."
7.85E+17,@holeinone1992 you forgot a k for bumgarner. redneck hillbilly
7.87E+17,@JayHawkSwagga no. Your southern hillbilly self is the ignorant fuck. You're the problem. Always dismissing their inappropriate behavior.
7.88E+17,"@bocavista2016 How dare you imply the backwoods hillbilly Arkansas rednecks are ""mentally ill!"" #FreeJulian"
8.71E+17,"@realDonaldTrump you are a culturaly hillbilly.
dumptrump: ""DROPP DEAD"""
8.20E+17,"@realDonaldTrump This tweet  makes ur racist, hillbilly trailer park dwellers happy who dont know who John Lewis is othr than an old n***er!"
8.27E+17,"@CMHADirector @obscureauthor @Anomaly100 @Trump_Thumper @dwhuggs @GelarBudidarma hope u lose your ins u dumbass hillbilly,"
8.27E+17,@EvelKnievel5 @MavMason @tommyboy41161 Hah!  You really think anyone who's not an inbred hillbilly would look at your stupid memes?
7.60E+17,"@HillaryClinton #billclinton babykillers,thieves,liars,cheaters is what u r #sleazyhilly #slimybilly #hillbilly As if u b'lieve in God/Bible"
7.66E+17,@shh_annon @scruffo4life @hughey88 you think we verbally attacked him??!! f*** you hillbilly 😂
7.67E+17,@dwhite191 you ignorant hillbilly! We had Olympics 2500 years before America was discovered. Show some respect and apologize to our athlete.
6.96E+17,"@HannuTursas @TheMuminTroll  @WhitestRabbit_  shut it, you drunk Finnish Soviet surrender monkey. Go jerk off to a picture of Putin"
7.76E+17,@JonathanWilling GOOD MORNING FROM MR. WHITE NIGGER TRASH OF OTTAWA ONTARIO. SUPPORT YOUR LOCAL DRUG DEALERS
6.87E+17,"@ChestnutPrince nah obviously you claim to know me in real life tellin them I'm a wanna be ""wigger"" lmao"
8.21E+17,@RivalSaturn @zoieburgher Yea you are a wigger kid XD
7.57E+17,@JamesinSELA You exist in an alternate reality. You're a conspiracy theorist. @cspanwj
7.59E+17,@DonaldJTrumpJr Good to know your an idiotic conspiracy theorist like your father.
8.63E+17,"@PrisonPlanet Nobody gives a shit what a pill-popping alt-right British conspiracy theorist thinks. Your ""fan base""… https://t.co/GkM9JY95IV"
8.70E+17,@RGanley You are a #Russian conspiracy theorist you moronic Global Socialist pig. #FirstWord
6.88E+17,@MJoyce2244 @Deus_Abscondis @loondale @PaulNiland You provided nothing. You are a paranoid conspiracy theorist.
6.94E+17,@warriorwoman212 you got shit for brains. A fucking conspiracy theorist. There are a variety of reasons why the old sheriff would...
6.96E+17,@JackMorganJ lies about everything? Jeez you sound like a Republican conspiracy theorist!
8.42E+17,@1955gregory This just proves you are a demented conspiracy theorist.  Hop on down to the pharmacy &amp; refill your Thorazine.
7.47E+17,@ELDirtyAC you a half assed conspiracy theorist tho .....besides who says God only created life on Earth? even the bible don't say that
7.74E+17,"@ScarletWinchest =Crazy conspiracy theorist, Trump cult racist, #dipshit
Your TL reveals all
 @multyz @TheDailyEdge https://t.co/LZIzlVShmy"
7.77E+17,@michaelallenmar @ASterling Conspiracy theorist is what liars call u if you confront them with the truth
8.33E+17,@KellyannePolls put your tinfoil hat back on and go back to listening to your conspiracy theorist and Brietbert news. Alt facts LIAR.
7.28E+17,@seanhannity watching a sellout. I wonder if he's kissing the conspiracy theorist ass tonight. Way to go u phony sellout. #douchebag
7.32E+17,@Nori_NYC @katbyrd41 @adryenn you are conspiracy theorist. You are probably a Greenwaldian
7.37E+17,"@ExplosivePulse U can tell lying Conspiracy Theorist Clem
what is evil is
the fact
vova sent in a BUK to UA
&amp; it destroyed #MH17
@CT4444"
8.51E+17,"@stranahan You are seriously unhinged
Lee went from respected journalist to batshit crazy conspiracy theorist… https://t.co/wtlCdZ1AVx"
8.53E+17,@DRUDGE_REPORT @realDonaldTrump Why are you retweeting conspiracy theorist nut jobs? Get a grip - you are the PRESIDENT.
7.86E+17,@csutherland56 bruh your soo dumb chase like that doesnt even make sense you stupid conspiracy theorist
7.88E+17,"@realDonaldTrump dude your just an elderly conspiracy theorist, @nbcsnl is rigging the election lmao @realDonaldTrump ""Eat A Dick"""
8.74E+17,@PresidentCheeto @politico @realDonaldTrump @Photoshop All you are is a Hysterical tinfoil hat conspiracy theorist… https://t.co/mNjljE1uO9
8.80E+17,@graywolf @politicoalex @brianstelter You  are a conspiracy theorist with no truth
8.21E+17,"@wadefaber Wow, you are a dumbass. Conspiracy theorist moron.... You and Trump were made for each other"
8.25E+17,@realDonaldTrump @POTUS @seanhannity @FoxNews You mean Fox Spews!Hannity is a conspiracy theorist!Not real-fake news!Discuss doomsday clock?
8.25E+17,@realDonaldTrump you see a conspiracy theorist and obvious liar as being a legitimate source. Sad.
7.49E+17,"@LdyLoneWanderer @DaRedneckGamer not you lone, this redneck dude. Youre fine but you have some followers getting butthurt over the discusion"
7.50E+17,@TedNugent are you insane or just plain stupid?    https://t.co/fFTtW58pdZ #redneck #bigot #scumbag #whitetrash #KKKTrump #whinylittlebitch
7.51E+17,"@PoloSooFresh @illygirlBreA @EseDiegooo47 there's 2 fat ass cops on top of him, and you still blame the victim. You a redneck?"
7.51E+17,@Mick_Lovin_it fishing..American no sleeve..talking about defending your girl...seems pretty redneck to me https://t.co/cWaZx556ox
7.54E+17,"@NataliaAntonova so you can't even have Russian name &amp; avoid anti-southern prejudice?! (Tumblr refrain: its all in yr head, u dumb redneck!)"
7.55E+17,@DMVBornAndBred @TheKaeCae @RasheedTheGreat @GregGlockovich lol you gone sit here and deny that crimes happen in redneck communities too?Lol
7.55E+17,@ImOkayAlright @betterthanfu @charjorgensen13 you called me a ignorant redneck for working on cars so keep up with your bullshit slinging
7.55E+17,"@nytimes Why because he is a redneck,Or he has more money then you,Stick to news not who you judge morons"
7.57E+17,"@PlutoCoffins It highlights what a redneck moron you are. I don’t care, but it helps confirm your mental acuity."
7.58E+17,@policosmo @BarackObama you might be a redneck....
7.58E+17,"@Death__XIII @NLibertusFight @AyeeeAcer 

incorrect. SAXONS called you CRACKER/REDNECK. 

take some time and study WHITE-ON-WHITE history."
7.58E+17,@Michaelraymusic gooood moooorrring redneck your got a top tweet Gratulasjon and enjoy your day hugs
7.58E+17,"@elisefoley he used the word ""cooter"".. pretty much tells you everything you need to know about this redneck piece of trash.."
8.63E+17,@randybachmann @billoreilly Randy dont you have a sister to marry.  Redneck
8.63E+17,@SarahPalinUSA Stfu Redneck!
8.66E+17,@GeorgiaDirtRoad let me guess your wife is your daughter and your sister is your cousin too. Dumbass redneck
8.66E+17,"@support is run &amp; maintained by inbred redneck pediphiles! FUCK YOU, YOU FUCKING RETARDS!"
8.69E+17,@anji_bubbles85 @PeterSmitGary @BBCBreaking yes I do now gtfo my mention you old ugly creepy redneck
8.69E+17,@ag_texas @realDonaldTrump You mean keep Montana  redneck?
8.69E+17,"@WheelerWalkerJr BAHAHAHAHA!! You rock man!! Boston LOVES ya! Gonna share your album ""Redneck Shit"" with everyone I know! Follow me brutha!"
8.70E+17,@ts422a @Bencjacobs You are an ignorant Texas redneck. Quite an embarrassment to America.
6.84E+17,@kaceytron See the thing is.. U should not be holding a cat against it's will. Unless you're a fucking poorly educated redneck.
6.86E+17,@coffeebby tell me you didn't get w that redneck .
6.88E+17,@peacelovedove @johnothy Mike's boxers a kale hanging dry you know your a redneck when
6.88E+17,@_Zacharry sikke nigga you tha redneck 😂
6.89E+17,"@TresAllison If someone asks to see your ID and you show them your belt buckle, you might be a redneck"
6.90E+17,@america_trump  YOUR REDNECK COMMENTS ON UNCIRCUMCISED MEN WAS DISGUSTING YOU CREEPY COMBOVER SLEAZEBAG!!
6.90E+17,"@GrahamBlog 
You are an asshole. You could not shine Trump's or Ted Cruz shoes. Redneck Inbred."
6.91E+17,@LexanMontana You know your a redneck when....You have camo FUCKING CROCS ON !! #WHATDAFUCKISYOUDOIN?!?!
6.92E+17,"@antifemz You can get tae fuck, and when you get there, get even more fucked to, you redneck cracker asshole."
6.94E+17,"@glennbeck Glenn let me do you a favor. Don't roll up your jeans cuffs like that. It makes you look like a ""RedNeck Clod""."
7.94E+17,"@Morning_Joe Joe u seem 2 b the only person that doesn't believe Trump is a dangerous man. U think ur being clever, but u r a redneck idiot!"
7.99E+17,@RealTimers seriously your episode after Trump won turned me off completely. America is a bunch of redneck idiots? Really?
8.00E+17,@Mastradomus @bitch YOU THE BITCH BITCH SHUT YO UGLY REDNECK HILLBILLY ASS UP YOU THE BITCH BITCH
8.00E+17,"@ACCobra70 Well Bill's the redneck pig-f...er...well, you get the idea.."
7.06E+17,@convict92 and I's* ain't. You dumb fuckin redneck liberal
7.06E+17,@AZjbc Does your redneck idiot ass know what a foam party is?  LMAO.  It's just a club or party where they put foam so you slide around.
7.06E+17,@HadleyAsdjfkl @stoutenburg321 who tf cares if you're redneck but you wear expensive jeans?? that has literally nothing to do with anything
7.07E+17,@EPrestonJ Redneck style!!! Pipe hanging g from your mouth. Dirty boxers and tee shotgun across your knee... He'll straw hat also. 😂😂😂😂
7.11E+17,"@NYlegendd with your "" y'all"" country redneck ass 😂😂😂😂😂 LMAOO"
7.11E+17,"@YourHighhnesss unless you start playing some redneck country ass music you won't weird me out, I listen to all types of music ☺️"
7.12E+17,@jdustinhill you know you can't sneak up on a redneck. They will cut you in a second.
7.12E+17,"@Morning_Joe Joe, you know nothing till you have a debate with Mathews about history and respect for America. Your a stupid redneck idiot!"
7.13E+17,@Ron_White You kow your a redneck when you get breast implants before you get your teeth fixed
7.13E+17,"@miuvie don't waste your time fighting with a redneck, you'll get more sense out of a goat"
7.15E+17,@KEEMSTAR you should be a redneck actor. These videos have me dying!!  💀
6.96E+17,"@Roc_Icarus 

What else would you expect from a clodhopping redneck with money?"
6.97E+17,"@officialcaffeg ""Kyouko why u look like a skanky redneck"""
6.98E+17,@HultineSunny @FilthyRichSnaps you redneck!
7.00E+17,@HT_JayReeves @rackemwillie513 Loving America makes you a redneck? 😂
7.00E+17,@JakeLipovsky so typical of the ignorant redneck dumbasses in our county
7.02E+17,"@AHagencee Racist, Redneck idiots like you are not worth arguing with. Blocked."
7.02E+17,@shyannsalazar your a true redneck 😂
7.02E+17,@bernieisacommie @WDPesky No go brush your tooth you piece of shit redneck scumbag
7.02E+17,@attaboy77 the way I see it is if you are up here in Ohio riding around with the flag you're a stupid redneck. Maybe down south is different
8.40E+17,@Dan_Nolan9 what a disgrace of a redneck journo u r. Pathetic piece about young u should embarrassed that wasnt journalism tgat was rubbish
8.41E+17,@TsuInu Oh my god hahaha! Are you a redneck? I hope not.
8.47E+17,"@MadisonDibono @jasleen_g_ @Dory yup you got me, I'm a total redneck yeehaw."
8.47E+17,"@itsBryanDaught shut up, you were apart of the little redneck crew"
7.39E+17,@tlcprincess Does that make you a redneck?
7.40E+17,@Ruanld1nho13 @Riaan366Venter other way around you degenerate redneck...only wish you were in my class and you'd know you're bloody place.
7.40E+17,@KEEMSTAR wish it was u fat old redneck
7.42E+17,@KristinFerrara_ @PattyWhite_NYM just as you did. It's ok to toss redneck around and pin gun violence on hunters. Dumb bitch.
7.43E+17,@BreannaBowmannn some reason you talk like a fucking redneck. but I wasn't complaining. just stating the obvious.
7.43E+17,@rossgoff0909 have fun being a skinny ass redneck bitch. i have seen pigs bigger than u. i feel sorry for you skinny ass redneck bitch. BYE
7.45E+17,@almostkanye @Boy_Grissom your redneck ass would RT this😂😂
7.46E+17,@monte_73 you ain't redneck
7.47E+17,@probablyamen you look like a redneck that has a confederate flag tattoo on his ass
7.48E+17,@eking_8 your getting cracker redneck and straight mixed up.
7.71E+17,"@one_silver_wolf we need,to make you a redneck hot tub heater :)"
7.71E+17,@Dankids3 What are you some redneck from down south in the swamps!
7.72E+17,"@TheDefenderA if you have to mow your driveway, you may be a redneck"
7.73E+17,@rustyprestridge @riwired @pmarca redneck from arkansas is playing Dr Phil on the Internet.  Rofl. Stfu moron. Just stop
7.72E+17,@AmSnarkShark well you look like Korean took on redneck so
7.72E+17,@DWilsonsports Because your GM is a dumbass redneck moron.
7.76E+17,@666Mavis what up w you and redneck boi
7.76E+17,"@laurenxspam you called me dumb and insinuated I was a ""redneck""meaning your a dumb redneck just like the others.sounds like racist or bigot"
7.77E+17,@deplorableJohn fuck trump you redneck cunt
7.78E+17,"@ezrsmillers if you ask a redneck about guns, you get a dumb answer. You ask someone who carries a dildo around school, you get dumb answer."
7.80E+17,@chasehuff8 and your dumb fucking redneck with no future who works on alpaca farm
7.80E+17,@siIentvapor you part of the redneck mafia too?
7.82E+17,@ViZzuaLizeR @MLGNePhs @VertZatile @TheCuNFiNeD @MLGshawxz lmao go jerk off to your F150 some more you redneck 😂 nice gas truck you got
7.82E+17,"@Jjjjeebs China is wid Pak because of CPEC, u redneck I know don't even know what that is"
8.29E+17,@trobsn2112 yeah imagine partaking in the political system ur country was founded on. Ur a redneck pussy
8.29E+17,"@realDonaldTrump the real threat is your own home grown redneck terrorists, and your gun laws you nimrod"
8.30E+17,@courtneyyy24_  moe you a beer drinkin lazy broke moe! Worry bout me nah moe worry bout you frfr redneck
8.30E+17,@jamesbod  omg you could be a SK redneck!!   LOL.......
8.30E+17,@Maxwell214K @Brjyan You casually eat them? Like a redneck charcuterie?
8.31E+17,@Tainouno I see you are another redneck degenerate who lacks a brain and/or morals. Don't have time for you! Scumbag.
8.31E+17,"@rukiddingme242 @stevesilberman @K810Mt Get your redneck logic out of here, trump woman"
8.33E+17,"@JoeNBC @SenJohnMcCain @MeetThePress Simply Joe, you are a fraud. A redneck who became intoxicated with the west side crowd applause"
7.26E+17,@realDonaldTrump So are your supporters. Redneck garbage that have no right to be voting in an election. Racist hicks.
7.26E+17,"@grffy not hard when you have 100 acres of farm land you John Deere driving, sister humping, shotgun shootin redneck"
7.28E+17,@01111010x caden may sound redneck drunk but you sound redneck in general
7.28E+17,@Jacobwalker54 can swim  back to Europe where your redneck ass is really from
7.29E+17,"@LindseyGrahamSC Do #America a #huge favor &amp; RETIRE ASAP, you worthless, inbred, redneck, #white trash hick! #SouthCarolina SUCKS as do you!"
7.30E+17,@drayzze @fragglerockl490 * Uuuu Might b a REDNECK fffffffff...
7.30E+17,@mcbroomifer You ethered that redneck
7.31E+17,"@porkchophawaii @DapymanUSA Man, you have never had a single tan, let alone two....redneck maybe."
7.32E+17,"@megz_dudek well it's atleast an hour drive from my house to get anywhere, we literally have nothing here and everyone is redneck af"
7.32E+17,@ScottReed57 @AJDelgado13 clean your outhouse nasty redneck !
7.33E+17,@Volla1Volland Ur criticizing my English?  Did u not read before hitting reply.  That's a jumbled mess. Is that redneck English? Get er done
7.35E+17,"@YoungPoIo @SkyNedNews @Messcotti Yeah i did, but that’s only as you seem to be some kinda deliverance style redneck. my bad!"
7.36E+17,@RepWestmoreland well you're a racist redneck asshole. U should hang yourself with the confederate flag you nazi asshole
7.37E+17,"@JimmieJohnson 
You might be a redneck!😁"
7.16E+17,@OpTic_DKarma @Liquid_Hiko go back to deseronto damon you damn redneck
7.16E+17,@TobeyT84 @AlmightyFranky @CSX09 Sorry your redneck roadkill isn't actual food.. We all know the real reason the car died.
7.17E+17,@realamerican114 @SportsCenter watch some commercials in stead of 90mins full playing time then you redneck
7.19E+17,@snobiwan @capitalyoga If you set your locale to redneck it’s speller lickerish
7.19E+17,@TheXclass No what's rude is your assumption that redneck is in insult &amp; denotes lack of character.
7.20E+17,@itzgreghaffley Your redneck looking ass better stop before I blaze yo ass🔥🔥🔥
7.21E+17,@adam_kost are you trying to tell me that DC is more redneck than South Dakota? Seriously?
7.23E+17,@TODAYshow @realDonaldTrump you racist redneck bigot
7.23E+17,@TheAdvocateMag you know your a redneck when other countries have travel advisories for your state. #shameonmiss
7.25E+17,"@rockybalboom @shercokholmes7 @cheekykelly @DawnHargadon i am not from Mississippi, you keep ur redneck actions 2 urself u fiend."
7.25E+17,@Rovitz is this when I call you a redneck Montana hillbilly?
8.48E+17,@imnotsai I find that hard to believe you know. I truly do. Anyone from Florida has bumped Kodak. I see redneck kids bumping No Flocking lol
8.50E+17,@SaraGee_ You go to whiskey dicks you redneck whatchu laughing at
8.50E+17,@SCTracieR0922 @BarbaraBRead SC Tracy SC you are the.epitome of a stupid redneck. You are crude and rude. You' re t… https://t.co/zqMFtWw8Pm
8.51E+17,"@JCLayfield Why don't you pick on someone like Brock, Dolph or whom would hand you your worthless redneck ass? A hy… https://t.co/t1akCG6T2s"
8.51E+17,@drewphilips_ you look like a redneck who just bought a gun from Walmart but had to go back because he forgot his wood fire flavored dip
8.51E+17,"@DerekHunt71 @CNN X They wouldn't even consider you,
Your Redneck would be a dead giveaway."
8.53E+17,"@CoreyRForrester @averagedrew @traecrowder your next book should be a redneck dictionary, à la Ambrose Bierce."
8.54E+17,@FrankSharps1874 @kron4news We carry you redneck inbred dickwads
8.54E+17,@FaZeUpBlehsed @xJagii @SilverWizardx @silver_vitality U love this redneck disgusting
8.55E+17,@bREEEEEEEEEad I'm not falling into your redneck fetish trap what is wrong with you
8.55E+17,@MikeMartin1982 stop trying to placate people. It's not fucking working you callous redneck
8.55E+17,"@ParkerMolloy Well, you can lead redneck scum to the city but you can't make them be human."
8.55E+17,"@TedNugent GREAT job demo'ing what a redneck graceless lowlife you &amp; fellow graceless lowlifes are, mocking the Cli… https://t.co/xoz6nqMhr9"
8.56E+17,@getoffmylawn80 @SheWhoVotes Look at you speakin Redneck!!! Lol
8.56E+17,@PeepsPlaceCom @LisaBloom @JoyAnnReid Well if you consider Bill redneck O'Reilly as a man then you're just as dumb as he is
8.56E+17,"@BoLumpkin: @FBRASWELL Redneck Mama threats ""I'll slap you nekkid and hide your clothes."" ~ Southern Saying https://t.co/SitAeKtk2L"
7.85E+17,"@AtomRamsey As you ignore W's ""achievements"" How ignorant can a redneck be ?"
7.85E+17,@CNN Thank you for dragging out that dumbass redneck Jeff Sessions to defend Donald Trump. I thought people that stupid were only in museums
7.85E+17,@holeinone1992 you forgot a k for bumgarner. redneck hillbilly
7.86E+17,@chulachic Are you the standard redneck or one of the many other names she calls her supporters in secret?  Your nothing but a puppet!  Sad!
7.86E+17,@NomikiKonst Clintons use of Redneck was used as an insult just like your white privilege comment.That wasnt empathy.#ItWasAnInsultStupid
7.86E+17,@billclinton ALL THOSE redneck voters...THERE IS YOU RACISM SHOWING !!! YOU should hide because you are still an embarrassment to AMERICA!
7.88E+17,"@realDonaldTrump @NCGOP 
In case you missed it, it's always rightie redneck that pulls this shit. Lefty is not that way motivated."
7.88E+17,"@realDonaldTrump @NCGOP 
In case you missed it, it's always rightie redneck that pulls this shit. Lefty is not that way motivated."
7.88E+17,"@realDonaldTrump @NCGOP 
In case you missed it, it's always rightie redneck that pulls this shit. Lefty is not that way motivated."
7.90E+17,"@foxoutdoors If you bought your coffin off of Facebook, you just might be a redneck! #OnlyInAlabama https://t.co/V3OtQDhnXP"
8.71E+17,@pnehlen @realDonaldTrump You forgot to put on your stupid f$&amp;*ing MAGA redneck hat
8.72E+17,@BrandonPrust8 Your style of hockey would be considered redneck.
8.76E+17,@TrumpFan0505 @CNN As you side with the russion loving traitor you show how stupid you are where you get your news redneck central news?
8.77E+17,@TheShannonBurke @kurteichenwald @unread61 Your a redneck trumptard who likes thing crammed in you ass of a mouth o… https://t.co/5IDUqlyEm2
8.78E+17,@Fighting_Champ @SteampunkWarria @LiifeOfKelly You're a redneck. Fighting is what we do. Tell your agent to remember that.
8.79E+17,@domackis @taboo1099 @AaronJFentress @SueRoers @trumptaxme @realDonaldTrump Are you one of theese brainless redneck… https://t.co/BCKJAJAmDk
8.20E+17,"@YazJabr 👳🏽 this is me 
and this is you, you redneck🙎🏻‍♂️🕺🏻"
8.22E+17,@TeamTrump @robdelaney Nothing says redneck deplorable like a red cup! Where's the money going? Your campaign? It's over! Conflict!
8.22E+17,@JohnKerry @nytimes and mr. John Kerry let me welcome you to a new nation Redneck Nation we voted and we kicked ass… https://t.co/WWWKorGOyK
8.22E+17,@Veighson @FoxNews @stevenmnuchin1 wrong question.  why didn't your redneck mom swallow?
8.22E+17,@BryanJFischer @StevenPetrow @AmericanFamAssc   I think Brian Moynihan at BofA would kick your redneck ass.
8.23E+17,@BubbaMacLeod @stillgray @RitaPanahi oh boy another yellow snow flake. I'm probably supporting you and your 10 uneducated redneck children
8.23E+17,"@POTUS - your a misogynist, narcissistic rich redneck - your hideous to hear and see.  God never needed to bless America more than now!!"
8.23E+17,"@sla0530 It's called a typo, obviously. It's clear you are a dumb ass redneck with no highschool education."
8.23E+17,@BoogerBottom it's chipp'n away at your redneck way's!  I get it. You'll be ok bro...
8.23E+17,@USACitizen111 That's your answer? The thing that uneducated poor redneck kids told me in third grade? Go back to your trailer park.
8.23E+17,@NanookHockey What's happening?  We have all lost our internet feed. And by all I mean us redneck Albertans
8.23E+17,"@timesredbox This just shows how childish redneck and religious bigot Trump and his team are, our crowd was bigger than yours SO SAD"
8.24E+17,"@Riley_Smiley96 your married to ""Riverview's redneck"""
8.24E+17,@joshtpm You look kinda like 'liberal redneck' @traecrowder in your new pic.
8.25E+17,@jeffmatt_us Appreciate your comments. It's the alt-white redneck lunatics that voted Trump &amp; those who didn't vote at all that disgust me.
8.26E+17,@Stevenwhirsch99 How's your sister's pussy taste? Probably like Mountain Dew. Fucking redneck.
8.26E+17,@SC_Cuban_B but I guess whatever it takes to get your average redneck to pay attention
8.26E+17,@MeGaPuRe_CS shut the fuck up you redneck
7.61E+17,@Vosnic @HiddenTara I'm white you dumb ass. Just not a stupid redneck inbreed like you
7.61E+17,@NoLibs and you're a redneck that knows nothing about me or anything else. STFU and don't read my tweets if you want to be a twat.
7.61E+17,@Kon__K All the white redneck and bogan depictions in the world couldnt alter your racist tinted glasses. Its 'Current year' damn it.
7.61E+17,@TimmyPuddin you are a redneck
7.62E+17,"@SherryIsley @YouTube Dang it, ""You MIGHT be a redneck if....you're in this this video!"" #letmeeditTwitter #damnit"
7.62E+17,@SallySmart90 @PettyIdol who said I supported Hillary u dumb redneck kill yourself
7.62E+17,@Prince_0115 I'm assuming that's in your redneck voice 😂😂😂😂
7.63E+17,@CruisingGallows @CNN you mean the redneck hood like you? No.
7.66E+17,@pete37364 @Always_Trump @antiamnesty trustus Black Nation we rednecks have your back we always have we're all part of the human race Trump
7.67E+17,"@dwhite191 @NBCOlympics Yo redneck,cry us a river.And yes,we know you support Trump.It's written all over your foreskin.Sry, meant forehead."
7.67E+17,"@wolfpsy @BumpItMcCarthy @RVAwonk @yaboynyp ah , now the redneck is coming out , this is ""typical "" Trump supporter , in all his grandeur 🗣"
7.68E+17,@S3RVN my fault i dont know how to speak inbred redneck for you to understand
7.69E+17,@mcuban you must think all trump voters are dumb redneck idiots! I once was impressed by you too! Disappointed!
7.69E+17,@DesireeAaron @StopBLMterror She was Angry Of Course She's HUMAN . Omg what a dumb ass redneck bitch you are
7.69E+17,@patrioticpepe @realDonaldTrump trump is betraying you redneck
8.66E+17,@IvankaTrump barack zach Rube the boob when I said no Tracy they all said you set it up LOOK MEXICO USA NO #1 Twisted your Arm
8.68E+17,@BwaynyTH13 why you gotta be so rube♪︎
6.87E+17,@Aussiesugglet00 Happy Birthday rube 😘💞 you're the Kylie to my Kendall &amp; I love you so much sissy! Smoochies!! 😜 https://t.co/FENyN80Fu4
6.91E+17,@Kevin_Sano What you don't know is Fluttershy is rigged to drop them onto the desk which makes me smack a bitch up. Rube Goldberg yo
8.00E+17,@rallythong debunked because someone put a video up on You Tube. Dumb rube.
